user_id,password,role,faculty_id
admin,admin123,admin,admin
santha_kumari,santha123,teacher,F1
neeraja,neeraja123,teacher,F2
venkateswar_rao,venkat123,teacher,F3
pandu_ranga_rao,pandu123,teacher,F4
kiran,kiran123,teacher,F5
sirisha,sirisha123,teacher,F6
naga_sasanka,naga123,teacher,F7
lakshmi,lakshmi123,teacher,F8
naga_lakshmi,nagalakshmi123,teacher,F9
munni_narendra,munni123,teacher,F10
ravi_babu,ravi123,teacher,F11
rakesh,rakesh123,teacher,F12
kusuma_rohini,kusuma123,teacher,F13
ravi_shankar,ravishankar123,teacher,F14
sowmya,sowmya123,teacher,F15
samhita_reddy,samhita123,teacher,F16
sreeja,sreeja123,teacher,F17
balaji,balaji123,teacher,F18
venkatesh,venkatesh123,teacher,F19
rajya_lakshmi,rajya123,teacher,F20
swetha,swetha123,teacher,F21
siva_naga_raju,siva123,teacher,F22
kavya_sree,kavya123,teacher,F23
sreenivasa_rao,sreenivasa123,teacher,F24
raheem,raheem123,teacher,F25
